Praxis_A,ID_A,Praxis_B,ID_B,Distanz,Ist_Dublette,Sicherheit,Signal,Begruendung
1,169,2,W-1208,0.00010794401168823242,True,0.95,name,"Die Namen und die Adressen (PLZ/Straße) sind identisch, was den Namensabgleich stark fördert. Die Telefonnummern weichen nur in der letzten Ziffer, was als typischer Tippfehler zu interpretieren ist. Die E-Mail-Adresse ist ebenfalls identisch. Da die Stammdaten (Name und Adresse) vollständig übereinstimmen, ist es sehr wahrscheinlich, dass es sich um dieselbe Person handelt."
2,W-1215,3,,0.0003529787063598633,True,95.0,address,"Die Namen und Adressen sind identisch, nur die Telefonnummer weicht leicht ab. Die E-Mail-Adresse ist ebenfalls gleich, was den High-Congruenzgrad verstärkt."
1,189,3,,0.00036144256591796875,True,0.95,address,"Die Namen und Adressen sind identisch, mit der Ausnahme von leichten Tippfehlern in den Telefonnummern (6450 vs 6050) und einer leicht abweichenden Telefonnummer. Die E-Mail-Adresse ist ebenfalls identisch. Da die PLZ und Straße übereinstimmen, sind diese Personen wahrscheinlich dieselbe Person mit leichten Unterschieden in den Kontaktinformationen."
2,W-1059,3,,0.0005641579627990723,True,95.0,name,"Die beiden Datensätze weisen in Bezug auf den Namen, die Straße und die Postleitzahl vollständige Übereinstimmung auf. Obwohl die Telefonnummer leicht abweicht (+4964070796 vs +4964000796) und der E-Mail-Adresse nur ein unterschiedlicher Anhängersuffix (6 vs .de), sind diese Unterschiede unwahrscheinlich groß genug, um die Identität in Frage zu stellen. Die vollständige Übereinstimmung der Stammdaten (Name/Adresse) verleiht den Datensätzen eine hohe Wahrscheinlichkeit für die Identität."
1,21,2,W-1202,0.0006105303764343262,True,95.0,address,"Die Namen und Adressen sind identisch, nur die Telefonnummer weicht um eine Ziffer. Die E-Mail-Adresse ist ebenfalls gleich, was den Hinweis auf dieselbe Person stärkt."
1,214,3,,0.006720423698425293,True,0.95,name,"Die Namen und die Adressen sind identisch, nur die Telefonnummer weicht leicht ab (Tippfehler oder mehrere Kontakte). Die E-Mail-Adresse ist ebenfalls gleich, was den Hinweis auf dieselbe Person stärkt."
1,119,2,W-1205,0.007346093654632568,True,85.0,address,"Die Namen der Personen sind identisch, die Straßen und Postleitzahlen stimmen ebenfalls überein. Obwohl die Telefonnummern leicht abweichen, sind sie in der Nähe des Wertes, was auf eine mögliche Tippfehler hindeutet. Die E-Mail-Adresse ist auch identisch, was weiterhin einen hohen Grad an Übereinstimmung nahelegt."
1,208,3,,0.007825970649719238,True,0.98,name,"Die Namen 'Zoey Schulez' und 'Zoey Schulze' sind phonetisch sehr ähnlich, was einen Tippfehler vermuten lässt. Die Adresse (Auweg 12) und die Postleitzahl (35578 Wetzlar) stimmen vollständig überein. Zudem sind die Kontaktdaten identisch (+49645013069 | schulze.z@gmx.de). Diese Übereinstimmungen deuten darauf hin, dass es sich um dieselbe Person handelt, wobei der Name leicht unterschiedlich geschrieben wurde, was durch phonetische Ähnlichkeit und die übereinstimmenden Details unterstützt wird."
1,30,2,W-1204,0.012136280536651611,True,85.0,name,"Die Namen sind identisch, die PLZ und Straße stimmen fast überein (Mozartstr. vs Mozartstrasse), die Telefonnummer weicht nur leicht ab (+49645099573 vs +49605099573) und die E-Mail-Adresse ist identisch. Die Adresse Juckstadt stimmt vollständig überein, was den Datensatz als wahrscheinlich gleiche Person klassifiziert."
4,11,4,157,0.01802647113800049,False,0.6,address,"Die Namen sind identisch, aber die Straßennummern unterscheiden sich (66 vs. 87). Die Postleitzahl und der Ort stimmen überein, was eine starke Indikation für dieselbe Person ist. Allerdings gibt es einen klaren Widerspruch in den Straßennummern, der die Annahme einer Identität ausschließt."
4,14,4,71,0.022707879543304443,False,0.75,address,"Die Namen sind identisch, aber die Straßenzahlen weichen auffällig ab (89 und 94). Die Postleitzahl und der Ort stimmen überein, was eine starke Indikation für dieselbe Person ist. Allerdings besteht ein logischer Widerspruch durch die unterschiedlichen Straßenzahlen, der den Datensätzen als Dublette entzieht."
1,210,3,,0.024032950401306152,True,0.98,name,"Die beiden Datensätze weisen auf den Namen 'Stefanie Schafeer' und 'Stefanie Schaefer' sowie die Adresse 'Brunnenstr. 3, 35579 Wetzlar-Niedergirmes' und die Telefonnummer '+496450573085' und die E-Mail-Adresse 'schaefer.s@email.de' überein. Die geringfügigen Namensunterschiede (Schafeer vs. Schaefer) könnten auf Tippfehler oder phonetische Ähnlichkeiten zurückzuführen sein, was dennoch eine hohe Wahrscheinlichkeit für die Identität der Personen suggeriert. Da alle Stammdaten übereinstimmen, ist es sehr wahrscheinlich, dass es sich um dieselbe Person handelt."
1,201,1,204,0.024756312370300293,True,1.0,name,"Die beiden Datensätze weisen in Bezug auf den Namen, die Straße und die Postleitzahl vollständig überein. Die Telefonnummer und der E-Mail-Adresse sind ebenfalls identisch. Da keine logischen Widersprüche vorliegen (z.B. unterschiedliche PLZ oder Straßen), können wir mit hoher Sicherheit davon ausgehen, dass es sich um dieselbe Person handelt."
1,204,2,W-1041,0.024756312370300293,True,1.0,name,"Die beiden Datensätze weisen identische Namen, Straße und Postleitzahl auf. Die Telefonnummer ist ebenfalls gleich. Obwohl Datensatz B eine zusätzliche E-Mail-Adresse enthält, sind die übereinstimmenden Stammdaten stark genug, um zu schließen, dass es sich um dieselbe Person handelt. Es gibt keine logischen Widersprüche oder unterschiedliche Postleitzahlen/Straßen, die den Datensätzen entgegenstehen würden."
2,W-1003,3,,0.026801764965057373,True,95.0,address,"Die beiden Datensätze weisen identische Namen (Petra Vogel), die gleiche Adresse (Eichenallee 8, 35466 Rabenau) und sehr ähnliche Telefonnummern (+49640777991 vs. +496407779912) auf. Die leichte Abweichung der Telefonnummer ist akzeptabel, da Personen oft mehrere Kontaktaufnahmen haben können. Die E-Mail-Adresse (vogel@email.de) ergänzt die Informationen und stärkt den Zusammenhang, was die Wahrscheinlichkeit einer Identität erhöht."
